C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST10:33:57

 IdentList
----------

 #  ;        typed ident        ;            identifier             ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;   radvel   ;  Mag V  
1062;* zet Pup                  ;* zet Pup                          ;120.89603141 -40.00314780          ;   -29.71 16.68     ;3.01      ;-23.90      ;2.25     
1063;HR 1034                    ;HD 21278                           ;052.0127948342800 +49.0628682788600; 22.754 -25.649     ;5.6775    ;1.20        ;4.97     
1064;* rho Ser                  ;* rho Ser                          ;237.8162886463546 +20.9779204329550; -53.507 17.999     ;8.0776    ;-61.96      ;4.78     
1065;* tau And                  ;* tau And                          ;025.1450685463 +40.5770483972      ;   15.99 -23.76     ;4.58      ;-13.90      ;4.94     
1066;* r Car                    ;* r Car                            ;158.8970717204 -57.5576342953      ;    -15.93 0.49     ;2.77      ;9.90        ;4.430    
1067;* psi Cas                  ;* psi Cas                          ;021.4834265888 +68.1300127772      ;    75.50 26.93     ;16.72     ;-12.83      ;4.727    
1068;* alf Lup                  ;* alf Lup                          ;220.4823157775 -47.3881987461      ;  -20.94 -23.67     ;7.02      ;5.40        ;2.286    
1069;* alf CMa A                ;* alf CMa                          ;101.28715533 -16.71611586          ;-546.01 -1223.07    ;379.21    ;-5.50       ;-1.46    
1070;* ome Per                  ;* ome Per                          ;047.8224233704 +39.6115837217      ;    -26.26 5.40     ;11.32     ;6.87        ;4.607    
1071;* lam Lup                  ;* lam Lup                          ;227.2108868772291 -45.2798613832426;-15.707 -18.158     ;3.5406    ;9.80        ;4.05     
1072;* zet Aps                  ;* zet Aps                          ;260.4978237342700 -67.7706689881500; -37.437 -7.925     ;11.1175   ;11.36       ;4.78     
1073;* i Aql                    ;* i Aql                            ;285.4201128063 -05.7391148408      ;  -24.41 -39.66     ;22.66     ;-43.92      ;4.02     
1074;GES J12381775-6043594      ;GES J12381775-6043594              ;189.5739460157100 -60.7331653665600;  -6.887 -1.163     ;0.3894    ;-15.95      ;     ~   
1075;HR 2766                    ;HD 56618                           ;109.1458033862000 -27.8811790454700; -13.193 38.623     ;7.6228    ;41.5        ;4.64     
1076;* del Aqr                  ;* del Aqr                          ;343.6625260741300 -15.8208195652000;-34.152 -26.359     ;23.1451   ;17.40       ;3.28     
1077;BD+05 939A                 ;* 32 Ori A                         ;082.6960460248000 +05.9481452814300;  9.366 -38.783     ;10.1428   ;~           ;4.46     
1078;HD 114837                  ;HD 114837                          ;198.5631030749600 -59.1032372299900;-248.678 -153.176   ;54.8247   ;-63.62      ;4.93     
1079;* zet Ori A                ;* zet Ori A                        ;085.189696429 -01.942572322        ;        4.0 2.5     ;      ~   ;18.1        ;1.90     
1080;* 93 Leo                   ;* 93 Leo                           ;176.99639979 +20.21893056          ;  -145.49 -4.34     ;14.02     ;0.750       ;4.522    
1081;GES J12384632-6042037      ;GES J12384632-6042037              ;189.6930745 -60.7010267            ;            ~ ~     ;      ~   ;6.56        ;     ~   
1082;* ome Eri                  ;* ome Eri                          ;073.2236248062 -05.4526936669      ;   -17.86 25.57     ;13.88     ;-6          ;4.40     
1083;* tet Ant                  ;* tet Ant                          ;146.0503963187 -27.7694725153      ;   -53.23 37.24     ;9.61      ;24.00       ;4.79     
1084;* 70 Aql                   ;* 70 Aql                           ;309.1818049784800 -02.5499546428800; 10.862 -15.416     ;4.0825    ;-9.27       ;4.880    
1085;* rho Hya                  ;* rho Hya                          ;132.1082107329 +05.8378134256      ;  -17.33 -29.41     ;9.21      ;32.8        ;4.337    
1086;* del Boo                  ;* del Boo                          ;228.8756789658 +33.3148312661      ;  84.74 -111.58     ;26.78     ;-12.29      ;3.49     
1087;* 70 Oph                   ;* 70 Oph                           ;271.36368827 +02.50009883          ; 124.16 -962.82     ;196.72    ;-5.800      ;4.03     
1088;* nu. Hyi                  ;* nu. Hyi                          ;042.6185816466700 -75.0669482597400;-33.506 -26.239     ;9.457     ;3.09        ;4.742    
1089;* alf Lyn                  ;* alf Lyn                          ;140.2637508770291 +34.3925592893489;-218.723 16.555     ;14.7042   ;38.47       ;3.14     
1090;* f Car                    ;* f Car                            ;131.6772886796 -56.7697756133      ;     -9.29 8.85     ;5.39      ;27.00       ;4.49     
1091;* eta Phe                  ;* eta Phe                          ;010.8384933787 -57.4630575853      ;    -5.07 16.51     ;13.24     ;7.70        ;4.361    
1092;* del Equ                  ;* del Equ                          ;318.6200637821 +10.0069794106      ;  42.39 -304.19     ;54.09     ;-15.85      ;4.49     
1093;* 37 Lib                   ;* 37 Lib                           ;233.5445936839325 -10.0645327084700;307.347 -234.595    ;34.3608   ;48.892      ;4.62     
1094;NOVA Gem 1903              ;V* DM Gem                          ;101.05021 +29.94497                ;            ~ ~     ;      ~   ;~           ;     ~   
1095;* eta Gem A                ;* eta Gem                          ;093.7193553605537 +22.5067873271708; -59.530 -7.766     ;4.7312    ;22.39       ;3.28     
1096;* chi Vir                  ;* chi Vir                          ;189.8115290086000 -07.9955649571800;-77.223 -24.409     ;10.3526   ;-18.94      ;4.643    
1097;HR 4979                    ;HD 114613                          ;198.0132678994621 -37.8030222023508;-382.409 46.147     ;48.8691   ;-13.040     ;4.85     
1098;* bet Eri                  ;* bet Eri                          ;076.96243955 -05.08644597          ;  -82.82 -75.39     ;36.50     ;-6.00       ;2.79     
1099;* h Her                    ;* h Her                            ;248.1512162563 +11.4880410922      ; -178.84 -79.27     ;9.29      ;2.92        ;4.85     
1100;* 56 Ori                   ;* 56 Ori                           ;088.1101607375500 +01.8551378642800;  -6.890 -7.973     ;2.5424    ;11.27       ;4.750    
1101;* ups01 Pup                ;* ups01 Pup                        ;109.5766389554 -36.7339535894      ;    -10.25 5.82     ;4.06      ;18.6        ;4.67     
1102;* phi Sgr                  ;* phi Sgr                          ;281.4141087679 -26.9907762336      ;     50.61 1.22     ;13.63     ;21.5        ;3.140    
1103;* eps Lep                  ;* eps Lep                          ;076.3652723742 -22.3710344147      ;   21.13 -73.11     ;15.29     ;1.011       ;3.18     
1104;* k Vel                    ;* k Vel                            ;138.9378323607500 -37.4131438565900;  13.859 -7.738     ;20.2065   ;12.41       ;4.62     
1105;* psi Sco                  ;* psi Sco                          ;242.9999713505300 -10.0641417096200; -1.483 -31.351     ;22.6379   ;-5.10       ;4.928    
1106;C 0516+732                 ;C 0516+732                         ;078.16250 +73.97472                ;      1.81 0.57     ;      ~   ;~           ;4.2      
1107;* bet02 Sgr                ;* bet02 Sgr                        ;290.8047393708 -44.7997791969      ;   93.45 -54.09     ;24.31     ;11.50       ;4.270    
1108;* kap Tuc                  ;* kap Tuc                          ;018.94234275 -68.87592657          ;  412.11 127.74     ;47.72     ;7.70        ;4.25     
1109;* tau Cas                  ;* tau Cas                          ;356.7643932733900 +58.6519910357300;  60.379 56.828     ;18.7789   ;-20.48      ;4.873    
1110;* mu. Lup                  ;* mu. Lup                          ;229.63342899 -47.87527658          ;  -29.59 -35.07     ;9.72      ;14.90       ;     ~   
1111;* ups Sco                  ;* ups Sco                          ;262.6909880117 -37.2958134753      ;   -2.37 -30.09     ;5.66      ;8.00        ;2.70     
1112;ADS 2270 AB                ;IRAS 02572+5209                    ;045.2138 +52.3498                  ;            ~ ~     ;      ~   ;~           ;     ~   
1113;* 48 Lib                   ;* 48 Lib                           ;239.5473695625 -14.2793581739      ;  -12.44 -16.73     ;6.97      ;-7.50       ;4.87     
1114;* sig Cyg                  ;* sig Cyg                          ;319.3539685017 +39.3946813328      ;    -0.13 -3.58     ;1.13      ;-5.30       ;4.24     
1115;* c01 Aqr                  ;* c01 Aqr                          ;346.6701988318000 -23.7429900192700; 61.661 -34.184     ;17.2892   ;15.2        ;4.47     
1116;* ome02 Sco                ;* ome02 Sco                        ;241.8513674096 -20.8687643981      ;   44.81 -45.42     ;11.22     ;-4.21       ;4.33     
1117;* psi01 Dra A              ;* psi01 Dra A                      ;265.4835932089400 +72.1488687827700;88.254 -271.791     ;43.95     ;-13.30      ;4.55     
1118;* kap And                  ;* kap And                          ;355.1021151333 +44.3339323875      ;   80.73 -18.70     ;19.37     ;-12.70      ;4.14     
1119;* 50 Cas                   ;* 50 Cas                           ;030.8587757542 +72.4212938186      ;   -43.57 22.30     ;20.76     ;-18.20      ;3.938    
1120;HD 20644                   ;HD 20644                           ;050.0848379625 +29.0484569819      ;   -7.71 -16.91     ;6.01      ;-3.09       ;4.47     
1121;* ups Boo                  ;* ups Boo                          ;207.3693366075 +15.7979056342      ;   -94.22 41.07     ;12.38     ;-5.85       ;4.07     
1122;* f01 Cyg                  ;* f01 Cyg                          ;314.9564755197900 +47.5209343740100;    7.857 4.065     ;1.4681    ;1.40        ;4.75     
1123;* f Aql                    ;* f Aql                            ;290.1371091728499 -05.4157680305800; 112.516 46.738     ;22.688    ;-18.00      ;4.990    
1124;* 38 Lyn A                 ;* 38 Lyn                           ;139.71101600 +36.80259252          ; -32.33 -125.64     ;26.13     ;4.0         ;3.92     
1125;C 0715-367                 ;Cl Collinder 135                   ;109.3620 -37.0440                  ;   -9.975 6.157     ;3.278     ;16.03       ;2.1      
1126;* tet01 Cru                ;* tet01 Cru                        ;180.7562554137 -63.3129279561      ;   -152.35 7.00     ;13.88     ;-2.80       ;4.32     
1127;* alf Gem B                ;* alf Gem B                        ;113.650418550 +31.888491992        ;  -206.3 -148.2     ;      ~   ;-1.2        ;3.0      
1128;C 0523+160                 ;Cl Collinder 65                    ;081.5250 +16.7000                  ;     1.16 -6.46     ;      ~   ;19.5        ;     ~   
1129;* zet Cen                  ;* zet Cen                          ;208.88494020 -47.28837451          ;  -57.37 -44.55     ;8.54      ;6.5         ;2.55     
1130;* del Aur                  ;* del Aur                          ;089.8817434141460 +54.2847379628627;85.814 -142.928     ;23.0557   ;9.75        ;3.720    
1131;V* V1500 Cyg               ;V* V1500 Cyg                       ;317.9024207577900 +48.1505423583900;  -6.449 -5.572     ;0.6427    ;-40         ;     ~   
1132;C 0722-321                 ;Cl Collinder 140                   ;110.8820 -31.9660                  ; -8.1285 4.7105     ;2.5685    ;19.65       ;     ~   
1133;* e Gem                    ;* e Gem                            ;103.6609922819879 +13.1778453179544; 68.745 -86.832     ;33.9184   ;24          ;4.715    
1134;* tau Her                  ;* tau Her                          ;244.93515275 +46.31336453          ;   -13.33 38.48     ;10.61     ;-15.50      ;3.87     
1135;* zet Ori                  ;* zet Ori                          ;085.18969443 -01.94257359          ;      3.19 2.03     ;4.43      ;18.50       ;1.77     
1136;HR 2812                    ;HD 57821                           ;110.5563708775 -19.0166012775      ;    -1.69 -6.91     ;6.78      ;32.90       ;4.950    
1137;* lam Gru                  ;* lam Gru                          ;331.5286903450 -39.5433516250      ; -23.80 -124.58     ;13.47     ;38.80       ;4.458    
1138;* gam Cen B                ;* gam Cen B                        ;190.379230708 -48.959576850        ;   -193.6 -11.6     ;      ~   ;~           ;2.88     
1139;* tet Boo                  ;* tet Boo                          ;216.2991542862 +51.8507435817      ;-235.40 -399.07     ;68.82     ;-10.627     ;4.05     
1140;* ome Boo                  ;* ome Boo                          ;225.5271199828700 +25.0081387982800; -5.335 -49.180     ;8.5271    ;12.76       ;4.81     
1141;* rho Her                  ;* rho Her                          ;260.9206005238 +37.1459427914      ;    -39.38 7.71     ;8.29      ;-21.0       ;4.17     
1142;NOVA Her 1991              ;V* V838 Her                        ;281.6315580981800 +12.2335670288400;  -1.772 -5.618     ;0.0001    ;~           ;     ~   
1143;HR 6675                    ;HD 163145                          ;269.1975706169499 -44.3422184889500; -4.058 -24.973     ;9.3687    ;35.60       ;4.849    
1144;* 10 UMa                   ;* 10 UMa                           ;135.15991945 +41.78294587          ;-474.31 -204.21     ;62.23     ;31.39       ;3.960    
1145;* eps Lib                  ;* eps Lib                          ;231.0495158017400 -10.3222788540000;-66.816 -152.296    ;34.6222   ;-9.80       ;4.920    
