C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.11CEST19:55:18

(Vmag <    6 | Bmag <  6 | Rmag <  6) & cat = '*' &
(pm <    0 | pm    > 0) &
(plx    > 0 | plx <    0) &
(radvel    > 0 | radvel <    0)
--------------------------------------------------------------------------------------------------------------------------------------------

Number of objects : 3017

 #  ;            identifier             ;typ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;  radvel   ;  Mag B  ;  Mag V  ;  Mag R  
929 ;* c Gem                            ;V* ;116.0288123786400 +25.7841601231000;-13.326 -20.079     ;5.0247    ;1.33       ;6.829    ;5.289    ;     ~   
930 ;NAME Pollux                        ;PM*;116.32895777 +28.02619889          ; -626.55 -45.80     ;96.54     ;3.391      ;2.14     ;1.14     ;0.39     
931 ;* kap Gem                          ;** ;116.1118898717 +24.3979964519      ;  -23.39 -54.57     ;23.07     ;20.15      ;4.49     ;3.57     ;2.86     
932 ;* g Gem                            ;SB*;116.5310350776600 +18.5099981036000;-77.972 -51.680     ;10.5086   ;83.13      ;6.33     ;4.87     ;3.72     
933 ;* 11 CMi                           ;V* ;116.5675051476100 +10.7682517049600;-30.318 -25.278     ;10.8334   ;28.00      ;5.247    ;5.237    ;     ~   
934 ;* zet CMi                          ;*  ;117.9249530282500 +01.7668684614100; -13.704 -4.043     ;4.0023    ;32.3       ;5.03     ;5.16     ;5.18     
935 ;* 2 Pup A                          ;*  ;116.3713969974600 -14.6905347247800;-10.562 -20.237     ;11.7184   ;25.20      ;6.045    ;5.997    ;     ~   
936 ;* 10 Pup                           ;*  ;118.0786621361200 -14.8461779283300;   -7.120 0.329     ;1.4691    ;17.83      ;6.056    ;5.689    ;7.01     
937 ;* 4 Pup                            ;*  ;116.4869565190600 -14.5638051956400;  -10.782 5.991     ;14.7603   ;-2.00      ;5.342    ;5.026    ;     ~   
938 ;* 6 Pup                            ;PM*;117.4216726086000 -17.2284084655600;54.538 -117.165     ;12.6942   ;48.79      ;6.462    ;5.162    ;     ~   
939 ;* 188 Pup                          ;** ;117.2569738557100 -24.9122471438500; -28.489 23.378     ;16.189    ;5.78       ;6.056    ;5.313    ;     ~   
940 ;NAME Azmidi                        ;*  ;117.3235652742 -24.8597862414      ;    -4.81 -0.89     ;2.72      ;2.80       ;4.56     ;3.30     ;2.43     
941 ;* omi Pup                          ;Be*;117.0215349738 -25.9371700767      ;    -10.09 4.26     ;2.30      ;15.00      ;4.43     ;4.49     ;4.37     
942 ;* l Pup                            ;sg*;115.9519530092 -28.9548255597      ;     -5.09 3.90     ;0.59      ;20.90      ;4.09     ;3.93     ;3.68     
943 ;* 1 Pup                            ;V* ;115.8849445223200 -28.4108857483300; -13.782 29.646     ;4.1384    ;32.40      ;6.22     ;4.59     ;3.29     
944 ;* 171 Pup                          ;PM*;116.3955052258500 -34.1725515628678;-222.267 1707.696   ;65.4544   ;106.16     ;5.909    ;5.362    ;     ~   
945 ;* c Pup                            ;*  ;116.3137350671 -37.9685832797      ;    -10.18 6.34     ;2.88      ;16.83      ;5.34     ;3.61     ;2.26     
946 ;* W Pup                            ;PM*;115.9247042761400 -40.9337464496700;130.960 -170.919    ;14.7756   ;52.55      ;6.27     ;5.17     ;     ~   
947 ;* a Pup                            ;SB*;118.0542993801800 -40.5757817321400;  -11.774 7.368     ;8.9838    ;24.0       ;4.717    ;3.696    ;     ~   
948 ;* chi Gem                          ;SB*;120.8795820638200 +27.7943508126400;-32.315 -46.221     ;12.7475   ;-3.83      ;6.075    ;4.937    ;     ~   
949 ;* phi Gem                          ;*  ;118.3742006609200 +26.7657814063900;-27.843 -30.555     ;18.038    ;8.0        ;5.060    ;4.963    ;     ~   
950 ;* ome Cnc                          ;*  ;120.2328038871400 +25.3928373894400;   16.663 7.197     ;5.3076    ;1.9        ;6.881    ;5.853    ;     ~   
951 ;* 85 Gem                           ;*  ;118.9162268636600 +19.8839670081400;-15.114 -39.830     ;6.4022    ;10.50      ;5.329    ;5.365    ;     ~   
952 ;* 3 Cnc                            ;*  ;120.1971147966700 +17.3087005526200; -10.504 -3.489     ;4.0598    ;39.55      ;6.904    ;5.588    ;     ~   
953 ;* 5 Cnc                            ;*  ;120.3762013793700 +16.4553110342100;   3.990 -5.338     ;6.5859    ;-12.00     ;5.97     ;5.99     ;     ~   
954 ;* 1 Cnc                            ;PM*;119.2477193362500 +15.7902783028400;-26.731 -42.591     ;6.981     ;13.93      ;7.06     ;5.78     ;     ~   
955 ;* 14 CMi                           ;PM*;119.5860901007000 +02.2247677134000;-161.282 98.299     ;12.7117   ;40.46      ;     ~   ;     ~   ;4.7      
956 ;* G CMi                            ;PM*;120.5664038383367 +02.3345719017650;-28.194 105.650     ;12.5234   ;71.57      ;5.63     ;4.38     ;3.39     
957 ;* 28 Mon                           ;Ro*;120.3055655842 -01.3926093036      ;   67.60 -76.26     ;7.25      ;26.70      ;6.147    ;4.680    ;     ~   
958 ;* 27 Mon                           ;PM*;119.9339710964100 -03.6795856697600; -53.772 -2.687     ;10.3645   ;-28.02     ;6.137    ;4.934    ;     ~   
959 ;* j Pup                            ;*  ;119.2147458175 -22.8801205517      ;   -30.42 11.49     ;6.25      ;15.18      ;4.900    ;4.184    ;     ~   
960 ;* 12 Pup                           ;Pe*;119.7738126242700 -23.3103965337200;  -11.655 2.537     ;3.7378    ;12.11      ;6.23     ;5.11     ;     ~   
961 ;* chi Pup                          ;V* ;119.4171094421400 -30.3345712422800;   -8.220 6.546     ;1.7157    ;30.00      ;4.94     ;4.79     ;4.59     
962 ;NAME Naos                          ;BY*;120.89603141 -40.00314780          ;   -29.71 16.68     ;3.01      ;-23.90     ;1.98     ;2.25     ;2.36     
963 ;* b Pup                            ;SB*;118.1610276042 -38.8628140186      ;     -8.92 3.34     ;5.03      ;29.50      ;4.301    ;4.474    ;     ~   
964 ;* 15 Cnc                           ;a2*;123.2869502501000 +29.6565379889100;-11.265 -19.506     ;4.672     ;18.1       ;5.541    ;5.605    ;     ~   
965 ;* psi Cnc                          ;PM*;122.6132535889479 +25.5073339252008;-72.954 -347.888    ;24.8472   ;-44.495    ;6.54     ;     ~   ;5.2      
966 ;* mu.01 Cnc                        ;LP*;121.5766480598000 +22.6354876549000;  -5.831 -9.488     ;5.4293    ;29.61      ;7.65     ;5.99     ;     ~   
967 ;* mu.02 Cnc                        ;PM*;121.9410677139801 +21.5818130039600; 23.227 -67.764     ;41.9916   ;-35.95     ;5.93     ;5.30     ;     ~   
968 ;* zet01 Cnc A                      ;PM*;123.0530017120400 +17.6476414755400;118.325 -148.433    ;40.8879   ;-5.5       ;5.85     ;5.31     ;     ~   
969 ;* 8 Cnc                            ;PM*;121.2687043022200 +13.1182165126500;-34.708 -62.992     ;15.8101   ;21.00      ;5.141    ;5.136    ;     ~   
970 ;* zet Mon                          ;*  ;122.1485276167 -02.9837877944      ;   -18.81 -4.50     ;3.08      ;31.20      ;5.30     ;4.33     ;3.60     
971 ;* 19 Pup                           ;** ;122.8179410425 -12.9269986597      ;    -25.79 8.09     ;18.46     ;35.78      ;5.68     ;4.72     ;3.99     
972 ;* 18 Pup                           ;PM*;122.6659400327100 -13.7992060929500;-250.947 58.202     ;44.3395   ;33.033     ;6.03     ;5.54     ;     ~   
973 ;* 20 Pup                           ;*  ;123.3331964883200 -15.7882246748900; -12.796 -3.749     ;3.1741    ;17.07      ;6.06     ;4.99     ;     ~   
974 ;* 16 Pup                           ;*  ;122.2568225383 -19.2450144608      ;    -9.87 -5.55     ;7.01      ;19.90      ;4.239    ;4.393    ;     ~   
975 ;* 14 Pup                           ;*  ;121.1725739606000 -19.7281511190100;   -5.495 2.274     ;1.4774    ;13.8       ;5.946    ;6.105    ;     ~   
976 ;NAME Tureis                        ;dS*;121.8860367646 -24.3043244294      ;   -83.35 46.23     ;51.33     ;45.80      ;3.24     ;2.81     ;2.46     
977 ;* r Pup                            ;Be*;123.3729883200 -35.8995183961      ;     -7.30 9.75     ;3.51      ;35.00      ;4.66     ;4.77     ;4.68     
978 ;* h01 Pup                          ;LP*;122.8395559592600 -39.6185441098400;   -9.072 3.211     ;2.3831    ;16.20      ;6.03     ;4.42     ;3.22     
979 ;* chi Cnc                          ;PM*;125.0160865010650 +27.2177050477481;-17.475 -377.072    ;54.8749   ;32.629     ;5.61     ;     ~   ;4.8      
980 ;NAME Piautos                       ;*  ;125.1339014739700 +24.0223111489000;-20.843 -18.970     ;5.7362    ;23.00      ;5.870    ;5.930    ;     ~   
981 ;* d01 Cnc                          ;PM*;125.8410119606600 +18.3321617925800;-51.953 -19.416     ;8.7606    ;35.8       ;6.120    ;5.940    ;     ~   
982 ;* d02 Cnc                          ;PM*;126.4578219369700 +17.0462699245700;-191.567 -151.554   ;21.9803   ;37.38      ;6.55     ;     ~   ;5.8      
983 ;NAME Tarf                          ;PM*;124.1288375337 +09.1855438678      ;  -46.82 -49.24     ;10.75     ;22.94      ;5.000    ;3.520    ;2.42     
984 ;* 1 Hya                            ;SB*;126.1458924388800 -03.7512424922400;-212.044 -25.969    ;36.9674   ;71.8       ;6.07     ;5.61     ;     ~   
985 ;* 30 Mon                           ;PM*;126.4151333783 -03.9064216167      ;  -66.43 -23.41     ;26.66     ;10.00      ;3.88     ;3.90     ;3.87     
986 ;* w Pup                            ;*  ;125.3459417878300 -33.0543650790700;  -11.721 3.316     ;2.5049    ;33.2       ;6.26     ;4.80     ;3.83     
987 ;* q Pup                            ;PM*;124.6388041308 -36.6592886403      ; -110.33 100.48     ;34.93     ;6.40       ;4.68     ;4.40     ;4.24     
988 ;* 33 Lyn                           ;*  ;128.6828526858800 +36.4196200621600;-25.927 -40.692     ;10.3145   ;24.9       ;5.785    ;5.751    ;     ~   
989 ;* phi01 Cnc                        ;PM*;126.6154418321400 +27.8935806447700;-33.427 -115.457    ;7.5571    ;25.18      ;6.97     ;5.57     ;     ~   
990 ;* ups01 Cnc                        ;PM*;127.8771644945300 +24.0811077030200;-80.791 -44.858     ;13.618    ;19.00      ;6.003    ;5.694    ;     ~   
991 ;* eta Cnc                          ;PM*;128.1770675107100 +20.4411622410200;-46.573 -44.296     ;10.258    ;22.34      ;6.581    ;5.325    ;     ~   
992 ;* tet Cnc                          ;PM*;127.8988748342500 +18.0944181729600;-59.639 -56.615     ;7.5577    ;44.60      ;6.908    ;5.337    ;     ~   
993 ;* 29 Cnc                           ;*  ;127.1555813168400 +14.2108242442400;-13.849 -12.252     ;9.0325    ;2.00       ;6.136    ;5.948    ;     ~   
994 ;* 27 Cnc                           ;LP*;126.6830799081100 +12.6546091344200;-18.617 -103.771    ;3.5575    ;-8.30      ;7.10     ;5.50     ;3.88     
995 ;* c Cnc                            ;*  ;129.2740369352100 +09.6555780897200; -28.308 -3.883     ;6.6793    ;16.5       ;5.992    ;5.910    ;     ~   
996 ;* 2 Hya                            ;dS*;126.6133676992 -03.9874777550      ;  -34.75 -73.26     ;19.99     ;28.60      ;5.809    ;5.590    ;     ~   
997 ;* 3 Hya                            ;a2*;128.8674949576700 -07.9822938393800; -21.240 15.334     ;9.6283    ;24.60      ;5.69     ;5.72     ;     ~   
998 ;* 1 LMi                            ;*  ;129.5790881170200 +32.8020168275800; -24.186 -4.173     ;8.4547    ;4.52       ;7.062    ;5.950    ;     ~   
999 ;* iot Cnc                          ;PM*;131.6742518185500 +28.7598931360400;-22.070 -43.699     ;9.4124    ;15.74      ;4.996    ;4.018    ;     ~   
1000;NAME Asellus Borealis              ;PM*;130.8214508296 +21.4685002203      ; -103.51 -39.48     ;18.00     ;28.7       ;4.670    ;4.652    ;     ~   
1001;NAME Asellus Australis             ;** ;131.1712467108 +18.1543064986      ; -17.67 -229.26     ;24.98     ;17.14      ;5.02     ;3.94     ;3.16     
1002;* 45 Cnc                           ;** ;130.8013727664800 +12.6808736286400;   -9.880 1.155     ;4.966     ;-6.20      ;6.040    ;5.650    ;     ~   
1003;* 50 Cnc                           ;PM*;131.7334124645200 +12.1099528000500;-63.575 -50.654     ;17.9753   ;23.3       ;5.992    ;5.885    ;7.20     
1004;* b Cnc                            ;a2*;131.1876487853200 +10.0816686904800;-14.686 -18.466     ;6.5062    ;27.50      ;5.55     ;5.66     ;     ~   
1005;NAME Ashlesha                      ;Ro*;131.69380097 +06.41880152          ; -228.11 -43.82     ;25.23     ;40.46      ;4.06     ;3.38     ;2.78     
1006;* del Hya                          ;** ;129.4140311366300 +05.7037877622300; -68.867 -7.551     ;18.4301   ;11.30      ;4.144    ;4.131    ;     ~   
1007;* rho Hya                          ;*  ;132.1082107329 +05.8378134256      ;  -17.33 -29.41     ;9.21      ;32.8       ;4.309    ;4.337    ;     ~   
1008;NAME Minchir                       ;*  ;129.6893227704 +03.3414361381      ;  -19.48 -15.92     ;8.75      ;27.06      ;5.63     ;4.43     ;3.54     
1009;* eta Hya                          ;bC*;130.8061458029 +03.3986629753      ;   -19.39 -1.08     ;5.56      ;16.10      ;4.100    ;4.300    ;4.37     
1010;* F Hya                            ;*  ;130.9182227138 -07.2337311914      ;   -11.62 -1.36     ;4.24      ;27.68      ;5.441    ;4.625    ;     ~   
1011;* a Hya                            ;PM*;130.0061310033100 -12.4753747291200;  -81.269 2.030     ;7.7464    ;-7.68      ;6.397    ;4.969    ;     ~   
1012;* D Hya                            ;*  ;131.5939350242800 -13.5477236486600; 10.316 -15.012     ;15.884    ;-6.64      ;5.22     ;4.32     ;3.64     
1013;* 9 Hya                            ;PM*;130.4305673614300 -15.9433853547100;  3.416 -96.804     ;15.7077   ;-1.98      ;5.918    ;4.866    ;     ~   
1014;* eta Pyx                          ;*  ;129.4673032981200 -26.2550001261100;-23.876 -12.407     ;13.2198   ;31.00      ;5.23     ;5.27     ;     ~   
1015;* zet Pyx                          ;PM*;129.9269751436600 -29.5610845940200;-24.751 -91.427     ;13.863    ;-29.39     ;5.777    ;4.872    ;     ~   
1016;* alf Pyx                          ;V* ;130.8980731433 -33.1863860522      ;   -14.27 10.43     ;3.71      ;15.3       ;3.50     ;3.68     ;3.76     
1017;* bet Pyx                          ;*  ;130.0255984608 -35.3083514275      ;    9.84 -20.80     ;7.84      ;-13.40     ;4.885    ;3.954    ;     ~   
1018;* sig01 Cnc                        ;*  ;133.1442582792500 +32.4741591224300;  -5.598 15.832     ;14.7289   ;-13.50     ;5.874    ;5.664    ;     ~   
1019;* sig02 Cnc                        ;PM*;134.2358236619700 +32.9104279426800;-53.031 -66.186     ;17.0377   ;5.3        ;5.593    ;5.436    ;     ~   
1020;* sig03 Cnc                        ;PM*;134.8860607498400 +32.4185593067800;-43.741 -34.754     ;10.7481   ;21.32      ;6.128    ;5.220    ;     ~   
1021;* rho02 Cnc                        ;*  ;133.9153353855200 +27.9274821811300;-13.014 -32.535     ;5.5719    ;16.55      ;6.229    ;5.225    ;     ~   
1022;NAME Copernicus                    ;PM*;133.1492129350179 +28.3308208317972;-485.681 -233.517   ;79.4482   ;27.394     ;6.82     ;     ~   ;5.4      
1023;* omi02 Cnc                        ;PM*;134.3966653205800 +15.5812849258400;  60.077 20.781     ;20.4546   ;-4.00      ;5.892    ;5.677    ;     ~   
1024;* omi01 Cnc                        ;PM*;134.3122903779400 +15.3227666000600;  60.732 20.396     ;20.3294   ;-4.6       ;5.373    ;5.220    ;     ~   
1025;NAME Acubens                       ;PM*;134.6216842112700 +11.8576804028000; 42.181 -31.160     ;18.3304   ;-12.10     ;4.388    ;4.249    ;     ~   
1026;* 60 Cnc                           ;V* ;133.9814460193000 +11.6260247243300;-15.525 -12.905     ;3.6191    ;25.38      ;6.921    ;5.440    ;     ~   
1027;* zet Hya                          ;PM*;133.8484422300 +05.9455653833      ;  -100.06 15.46     ;19.51     ;22.30      ;4.10     ;3.10     ;2.39     
1028;* 14 Hya                           ;a2*;132.3405243457800 -03.4430253995300;-20.146 -22.776     ;7.5954    ;31.30      ;5.22     ;5.31     ;     ~   
1029;* gam Pyx                          ;PM*;132.6330117588 -27.7098450300      ;  -134.31 87.89     ;15.73     ;24.50      ;5.27     ;4.01     ;3.06     
1030;* del Pyx                          ;PM*;133.8815300704900 -27.6818482123900;82.731 -101.976     ;14.0808   ;5.40       ;5.00     ;4.89     ;     ~   
1031;* lam Gru                          ;PM*;331.5286903450 -39.5433516250      ; -23.80 -124.58     ;13.47     ;38.80      ;5.843    ;4.458    ;     ~   
1032;* mu.01 Gru                        ;** ;333.9038284359100 -41.3467626314700;  41.607 41.819     ;9.3332    ;-4.82      ;5.595    ;4.798    ;     ~   
1033;* mu.02 Gru                        ;*  ;334.1106323080000 -41.6271817018100;-17.666 -13.765     ;14.508    ;15.90      ;6.036    ;5.117    ;     ~   
1034;* sig02 Gru                        ;PM*;339.2452223085400 -40.5910350287800; 43.533 -69.825     ;14.2337   ;15.0       ;5.926    ;5.874    ;     ~   
1035;* rho Gru                          ;PM*;340.8749022675 -41.4143463050      ;   10.11 -93.79     ;14.16     ;30.89      ;5.854    ;4.835    ;     ~   
1036;* tet Gru                          ;** ;346.71971026 -43.52035715          ;  -47.17 -13.49     ;24.73     ;9.6        ;4.730    ;4.332    ;     ~   
1037;* iot Phe                          ;a2*;353.7690015235300 -42.6151397988700;   47.072 8.543     ;12.3056   ;19.4       ;4.79     ;4.71     ;4.59     
1038;NAME Ankaa                         ;SB*;006.57104752 -42.30598719          ; 233.05 -356.30     ;38.50     ;74.6       ;3.47     ;2.38     ;     ~   
1039;* kap Phe                          ;PM*;006.5508389318483 -43.6798306587444; 106.394 32.491     ;41.7228   ;11.3       ;4.11     ;3.94     ;3.78     
1040;* ups Phe                          ;** ;016.9492638660800 -41.4868431356900;   53.687 1.376     ;14.4232   ;9.00       ;5.361    ;5.207    ;     ~   
1041;* eta03 For                        ;PM*;042.6683616032200 -35.6758499667100;  4.093 -54.551     ;6.6631    ;13.57      ;6.741    ;5.472    ;     ~   
1042;* eta02 For                        ;PM*;042.5615986003900 -35.8436175628700;  51.003 18.217     ;7.6745    ;21.60      ;6.84     ;5.92     ;     ~   
