C.D.S.  -  SIMBAD4 rel 1.7  -  2022.01.28CET21:02:34

*\* [a-z]?? [A-Z]??
-------------------

Number of objects : 1334

 #  ;typed ident;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;        pm         ;Mag U 
1269;* D01 Car  ;* D01 Car                          ;*  ;08 00 19.9667811 -63 34 02.842048      ;    -1.89 19.21    ; 4.03 
1270;V* E05 Aps ;V* E05 Aps                         ;EB*;18 08 24.0 -31 15 03                   ;            ~ ~    ;     ~
1271;* L01 Pup  ;* L01 Pup                          ;a2*;07 13 13.3506332497 -45 10 57.858062088;-25.189 -87.240    ;     ~
1272;V* L02 Pup ;* L02 Pup                          ;AB*;07 13 32.3185436236 -44 38 22.951891964;106.757 323.164    ; 7.90 
1273;V* O01 CMa ;V* O01 CMa                         ;V* ;No Coord.                              ;            ~ ~    ;     ~
1274;* alf CMa  ;* alf CMa                          ;SB*;06 45 08.91728 -16 42 58.0171          ;-546.01 -1223.07   ;-1.51 
1275;* b01 Aqr  ;* b01 Aqr                          ;PM*;23 22 58.2260607 -20 06 02.096316      ; -121.28 -97.59    ; 6.03 
1276;* b01 Car  ;* b01 Car                          ;bC*;08 56 58.4166621877 -59 13 45.603184203;   -8.409 8.421    ; 3.97 
1277;* b01 Cyg  ;* b01 Cyg                          ;RS*;20 06 21.7672972921 +35 58 20.889117643;-224.924 -440.162  ;     ~
1278;* b01 Hya  ;* b01 Hya                          ;*  ;10 46 52.0543182233 -17 17 48.736026099;-15.577 -19.661    ;     ~
1279;* b02 Aqr  ;* b02 Aqr                          ;PM*;23 26 02.7856603 -20 38 31.263033      ;  -50.72 -64.22    ; 7.65 
1280;* b02 Car  ;* b02 Car                          ;PM*;08 59 24.1816749896 -59 05 01.362386263;-175.405 282.080   ;     ~
1281;* b02 Cyg  ;* b02 Cyg                          ;Be*;20 09 25.6190867940 +36 50 22.596147551;   2.728 15.562    ; 4.03 
1282;* b02 Hya  ;* b02 Hya                          ;*  ;10 51 05.9922322656 -18 19 55.977183992;  -42.622 8.747    ;     ~
1283;* b02 Per  ;* b02 Per                          ;V* ;04 20 11.5121839979 +50 55 15.371145521;   0.268 -6.565    ; 4.78 
1284;* b03 Aqr  ;* b03 Aqr                          ;** ;23 33 16.62300 -20 54 52.2155          ;     -3.41 8.46    ;     ~
1285;* b03 Cyg  ;* b03 Cyg                          ;dS*;20 14 32.0319919055 +36 48 22.684605093;  68.391 70.446    ; 5.10 
1286;* b03 Hya  ;* b03 Hya                          ;PM*;10 53 29.5317940583 -20 08 19.422789990;81.299 -238.788    ;     ~
1287;* c01 Aqr  ;* c01 Aqr                          ;** ;23 06 40.8436181227 -23 44 34.867265164; 65.122 -27.535    ;     ~
1288;* c01 Cen  ;* c01 Cen                          ;PM*;14 43 39.4396190 -35 10 25.158650      ; -61.46 -176.84    ;     ~
1289;* c01 Sco  ;* 12 Sco                           ;** ;16 12 16.03911 -28 25 02.3122          ;  -23.68 -42.44    ;     ~
1290;* c02 Aqr  ;* c02 Aqr                          ;PM*;23 09 26.7960449399 -21 10 20.694738029;  53.452 30.201    ; 6.09 
1291;* c02 Cen  ;* c02 Cen                          ;*  ;14 44 59.2017716710 -35 11 30.575001422;   9.255 -3.943    ;     ~
1292;* c02 Sco  ;* c02 Sco                          ;SB*;16 12 18.2048972 -27 55 34.945744      ;  -10.38 -23.94    ; 3.66 
1293;* d01 Cnc  ;* d01 Cnc                          ;PM*;08 23 21.8431135243 +18 19 55.785929403;-52.104 -19.683    ; 6.260
1294;* d01 Pup  ;* d01 Pup                          ;*  ;07 39 27.3383375 -38 18 28.878559      ;   -21.11 15.81    ; 3.99 
1295;* d01 Vir  ;* d01 Vir                          ;PM*;12 41 57.1176124971 +06 48 23.819305966;-71.820 -11.300    ;     ~
1296;* d02 Cnc  ;* d02 Cnc                          ;PM*;08 25 49.8776646334 +17 02 46.573702232;-191.942 -151.697  ;     ~
1297;* d02 Pup  ;* d02 Pup                          ;*  ;07 39 43.8131012500 -38 08 21.425791778; -19.994 13.990    ;     ~
1298;* d02 Vir  ;* d02 Vir                          ;dS*;12 45 37.0584841 +07 40 23.969587      ;   -107.95 4.10    ;     ~
1299;* d03 Pup  ;* d03 Pup                          ;*  ;07 39 47.8750365356 -38 15 38.351917773;  -10.285 9.718    ;     ~
1300;* d04 Pup  ;* d04 Pup                          ;Be*;07 39 57.9912451679 -37 34 45.923730119;  -0.947 -4.767    ; 5.50 
1301;* e01 Car  ;* e01 Car                          ;** ;08 35 15.5539266619 -58 13 29.054393518; -21.280 11.230    ;     ~
1302;* e01 Sgr  ;* e01 Sgr                          ;PM*;19 40 43.3826784155 -16 17 35.778831883; 68.791 -50.337    ;     ~
1303;* e02 Car  ;* e02 Car                          ;** ;08 35 19.7088597577 -58 00 33.271447253;  52.848 28.117    ;     ~
1304;* e02 Sgr  ;* e02 Sgr                          ;** ;19 42 31.1337494510 -16 07 26.390457775;  65.819 -9.944    ;     ~
1305;* f01 Cyg  ;* f01 Cyg                          ;Be*;20 59 49.5516391039 +47 31 15.378902421;    9.534 3.090    ; 3.77 
1306;* f01 Ori  ;* f01 Ori                          ;Be*;06 12 03.2795497 +16 07 49.461443      ;    5.49 -16.80    ; 4.21 
1307;* f02 Cyg  ;* f02 Cyg                          ;*  ;21 06 36.0938154 +47 38 54.249030      ;     6.53 -1.41    ;     ~
1308;* f02 Ori  ;* f02 Ori                          ;*  ;06 15 25.1313678964 +16 08 35.405049653;  -3.731 -9.870    ;     ~
1309;* h01 Pup  ;* h01 Pup                          ;LP*;08 11 21.4922571895 -39 37 06.766597581;   -8.206 3.694    ; 7.79 
1310;* h01 Sgr  ;* h01 Sgr                          ;dS*;19 36 01.6532242287 -24 43 08.693058237;  6.698 -25.961    ;     ~
1311;* h02 Pup  ;* h02 Pup                          ;SB*;08 14 02.9434614994 -40 20 52.469070271; 27.770 -60.682    ; 6.70 
1312;* h02 Sgr  ;* h02 Sgr                          ;PM*;19 36 42.4328855 -24 53 01.028795      ;   68.30 -21.51    ;     ~
1313;* i01 Aqr  ;* i01 Aqr                          ;*  ;23 44 12.0785220231 -18 16 36.999934132;    27.23 -2.94    ;     ~
1314;* i02 Aqr  ;* i02 Aqr                          ;** ;23 46 00.9225438 -18 40 42.031269      ;   130.33 10.84    ;     ~
1315;* i03 Aqr  ;* i03 Aqr                          ;Pe*;23 51 21.3383201 -18 54 32.993729      ;    26.82 -4.27    ; 4.62 
1316;* k01 Pup  ;* k01 Pup                          ;*  ;07 38 49.3799455697 -26 48 06.351393619; -22.705 12.708    ; 3.76 
1317;* k01 Vel  ;* k01 Vel                          ;** ;09 14 57.1711374484 -37 36 08.742691467;    4.04 -12.35    ;     ~
1318;* k02 Pup  ;* k02 Pup                          ;V* ;07 38 49.8706970997 -26 48 13.846005331; -17.545 21.357    ;     ~
1319;* n01 Ori  ;* n01 Ori                          ;** ;05 31 14.53183 +03 17 31.6729          ;    -0.22 -1.50    ; 4.47 
1320;* n02 Ori  ;* 38 Ori                           ;** ;05 34 16.7752565133 +03 46 00.874163851;-26.491 -18.628    ;     ~
1321;* p01 Leo  ;* p01 Leo                          ;** ;10 53 43.7121523464 -02 07 45.129560659; -83.235 14.729    ;     ~
1322;* p02 Leo  ;* p02 Leo                          ;V* ;11 01 49.6762854745 -02 29 04.525646926;  9.014 -35.370    ; 8.29 
1323;* p03 Leo  ;* p03 Leo                          ;PM*;11 03 36.5922051218 -00 00 02.984834766;  -60.514 1.618    ;     ~
1324;* p04 Leo  ;* p04 Leo                          ;RG*;11 06 54.2073127915 +01 57 19.892063002;-382.860 -85.867   ;     ~
1325;* p05 Leo  ;* p05 Leo                          ;*  ;11 13 45.5531733923 -00 04 10.208991760;  -46.616 2.823    ;     ~
1326;* q01 Eri  ;* q01 Eri                          ;PM*;01 42 29.3148822519 -53 44 26.991165270;165.832 -105.515   ;     ~
1327;* q02 Eri  ;* q02 Eri                          ;PM*;01 46 06.2634118807 -53 31 19.327906268; 126.289 59.859    ;     ~
1328;* t01 Car  ;* t01 Car                          ;PM*;10 36 20.5181894006 -59 33 51.810166607;-40.984 -39.180    ;     ~
1329;* t02 Car  ;* t02 Car                          ;*  ;10 38 44.9952384450 -59 10 58.792663538;  -14.284 1.117    ;     ~
1330;* x01 Cen  ;* x01 Cen                          ;*  ;12 23 35.4208463788 -35 24 45.637339054; -43.159 -6.837    ;     ~
1331;* x02 Cen  ;* x02 Cen                          ;V* ;12 25 21.7347438472 -35 11 11.094836477; -41.434 -6.617    ;     ~
1332;* y02 Pup  ;* y02 Pup                          ;*  ;07 36 43.9203073698 -48 49 48.597632953;   -6.827 1.005    ;     ~
1333;* y03 Pup  ;* y03 Pup                          ;cC*;07 38 18.2087613998 -48 36 05.159134325;   -4.062 5.291    ;     ~
1334;* z02 Car  ;* z02 Car                          ;s*b;11 08 33.9973934107 -61 56 49.825990457;   -6.286 1.459    ; 4.96 
================================================================================

