C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST21:17:30

ngc ????
--------

Number of objects : 7359

 #  ;typed ident;            identifier             ;typ;     coord1 (ICRS,J2000/2000)      ;        pm        ;   plx   ;   radvel    ;  Mag V  
----;-----------;-----------------------------------;---;-----------------------------------;------------------;---------;-------------;---------
6044;NGC  6440  ;NGC 6440                           ;GlC;267.21946 -20.35958                ;    -1.01 -3.81   ;0.1144   ;-69.39       ;10.10    
6045;NGC  6441  ;NGC 6441                           ;GlC;267.55442 -37.05144                ;    -2.51 -5.32   ;0.0463   ;17.27        ;8.00     
6046;NGC  6442  ;NGC 6442                           ;G  ;266.7139494857500 +20.7611738631600;            ~ ~   ;      ~  ;6267         ;     ~   
6047;NGC  6443  ;NGC 6443                           ;G  ;266.1409720730700 +48.1140086206200;            ~ ~   ;      ~  ;8997         ;     ~   
6048;NGC  6444  ;NGC 6444                           ;OpC;267.4080 -34.8160                  ;  -0.936 -0.902   ;0.524    ;~            ;     ~   
6049;NGC  6445  ;NAME Little Gem                    ;PN ;267.31337 -20.00958                ;            ~ ~   ;      ~  ;-8           ;     ~   
6050;NGC  6446  ;NGC 6446                           ;GiP;266.5312483806100 +35.5693517070400;            ~ ~   ;      ~  ;6760         ;     ~   
6051;NGC  6447  ;NGC 6447                           ;GiP;266.5716772101399 +35.5719958550000;  -0.313 -0.184   ;      ~  ;6658         ;     ~   
6052;NGC  6449  ;NGC 6449                           ;G  ;265.9430343596899 +56.8041157010500;            ~ ~   ;      ~  ;5216         ;     ~   
6053;NGC  6451  ;NGC 6451                           ;OpC;267.6750 -30.2060                  ;  -0.105 -1.335   ;0.304    ;-23.0        ;8.2      
6054;NGC  6452  ;NGC 6452                           ;G  ;266.9934534216300 +20.8378881621800;            ~ ~   ;      ~  ;8745         ;     ~   
6055;NGC  6453  ;NGC 6453                           ;GlC;267.71571 -34.59864                ;     0.13 -5.82   ;0.0676   ;-91.16       ;     ~   
6056;NGC  6454  ;6C 174400+554318                   ;QSO;266.2358541861099 +55.7047648323400;    0.884 0.338   ;      ~  ;8859         ;13.5     
6057;NGC  6456  ;NGC 6456                           ;BiC;265.6326582080700 +67.5923190533900;            ~ ~   ;      ~  ;12116        ;     ~   
6058;NGC  6457  ;NGC 6457                           ;GiG;265.7201141079299 +66.4760435633200;            ~ ~   ;      ~  ;8032         ;     ~   
6059;NGC  6458  ;NGC 6458                           ;GiP;267.2958403047200 +20.8043365339200;  -0.666 -0.013   ;      ~  ;3183         ;     ~   
6060;NGC  6459  ;NGC 6459                           ;GiG;266.4466193721800 +55.7767412816300;            ~ ~   ;      ~  ;8584         ;     ~   
6061;NGC  6460  ;NGC 6460                           ;GiP;267.3763802431399 +20.7637172195900;            ~ ~   ;      ~  ;3312         ;     ~   
6062;NGC  6461  ;NGC 6461                           ;G  ;264.6766331943300 +73.5157220967000;            ~ ~   ;      ~  ;12981        ;     ~   
6063;NGC  6462  ;NGC 6462                           ;G  ;266.2035885760900 +61.9105954466000;            ~ ~   ;      ~  ;11293        ;     ~   
6064;NGC  6463  ;NGC 6463                           ;G  ;265.8930861083900 +67.6035212261500;            ~ ~   ;      ~  ;11993        ;     ~   
6065;NGC  6464  ;NGC 6464                           ;G  ;266.4480090159300 +60.8974475382200;    0.245 1.499   ;1.5084   ;9772         ;     ~   
6066;NGC  6465  ;NGC 6465                           ;?  ;268.2317 -25.3978                  ;            ~ ~   ;      ~  ;~            ;     ~   
6067;NGC  6466  ;NGC 6466                           ;GiG;267.0336628089000 +51.3991999903900;            ~ ~   ;      ~  ;6717         ;     ~   
6068;NGC  6467  ;NGC 6467                           ;GiG;267.667387 +17.537869              ;            ~ ~   ;      ~  ;3021         ;     ~   
6069;NGC  6469  ;NGC 6469                           ;OpC;268.2770 -22.3000                  ;    0.638 0.813   ;0.587    ;-3.32        ;8.2      
6070;NGC  6470  ;NGC 6470                           ;G  ;266.0620850226000 +67.6193871525600;  -0.649 -0.429   ;      ~  ;8096         ;     ~   
6071;NGC  6472  ;NGC 6472                           ;G  ;266.0131713442600 +67.6302769047600;            ~ ~   ;      ~  ;~            ;     ~   
6072;NGC  6474  ;NGC 6473                           ;G  ;266.7731887759600 +57.3011755474700;            ~ ~   ;      ~  ;8348         ;     ~   
6073;NGC  6475  ;NAME Ptolemy's Cluster             ;OpC;268.4470 -34.8410                  ; 3.0722 -5.3157   ;3.5704   ;-14.7        ;     ~   
6074;NGC  6476  ;NGC 6476                           ;ISM;268.5083 -29.1450                  ;            ~ ~   ;      ~  ;~            ;     ~   
6075;NGC  6477  ;NGC 6477                           ;G  ;266.1250111168700 +67.6106429398000;            ~ ~   ;      ~  ;~            ;     ~   
6076;NGC  6478  ;NGC 6478                           ;GiG;267.1597578513600 +51.1572790040100;            ~ ~   ;      ~  ;6748.7       ;     ~   
6077;NGC  6479  ;NGC 6479                           ;G  ;267.0899521784099 +54.1490236715300;  -0.717 -0.343   ;      ~  ;6587         ;     ~   
6078;NGC  6481  ;NGC 6481                           ;OpC;268.2000 +04.1667                  ;    -0.60 -5.02   ;      ~  ;~            ;     ~   
6079;NGC  6482  ;NGC 6482                           ;GiG;267.9534746866200 +23.0719136864200;            ~ ~   ;      ~  ;3902         ;11.45    
6080;NGC  6483  ;NGC 6483                           ;G  ;269.8783186523899 -63.6687911264000;  -0.336 -0.277   ;1.0166   ;4895         ;     ~   
6081;NGC  6484  ;NGC 6484                           ;GiG;267.9458132806100 +24.4835755222900;    0.050 0.506   ;      ~  ;2999         ;     ~   
6082;NGC  6485  ;NGC 6485                           ;G  ;267.9697308463300 +31.4618467089800;            ~ ~   ;      ~  ;4684         ;     ~   
6083;NGC  6486  ;NGC 6486                           ;G  ;268.1471490629100 +29.8180554039500;            ~ ~   ;      ~  ;7944         ;     ~   
6084;NGC  6487  ;NGC 6487                           ;G  ;268.1743130980699 +29.8386222758000;            ~ ~   ;      ~  ;7598         ;     ~   
6085;NGC  6488  ;NGC 6488                           ;GiG;267.3373981295400 +62.2228867416200;            ~ ~   ;      ~  ;8531         ;     ~   
6086;NGC  6489  ;NGC 6489                           ;G  ;267.5054347094300 +60.0922222833800;   -0.408 0.814   ;      ~  ;8189         ;     ~   
6087;NGC  6490  ;NGC 6490                           ;GiG;268.6269819200200 +18.3758024762200;            ~ ~   ;      ~  ;3230         ;     ~   
6088;NGC  6491  ;NGC 6491                           ;G  ;267.5028066694899 +61.5318495442100;   9.218 -1.521   ;1.0397   ;6148         ;     ~   
6089;NGC  6492  ;NGC 6492                           ;G  ;270.7016333756200 -66.4305960420700;            ~ ~   ;      ~  ;4253         ;     ~   
6090;NGC  6493  ;NGC 6493                           ;G  ;267.5944511158099 +61.5593882551200;            ~ ~   ;      ~  ;5881         ;     ~   
6091;NGC  6494  ;M 23                               ;OpC;269.2370 -18.9870                  ;   0.284 -1.809   ;1.354    ;-31.73       ;     ~   
6092;NGC  6495  ;NGC 6495                           ;GiG;268.7115646957200 +18.3268526385700;            ~ ~   ;      ~  ;3143         ;     ~   
6093;NGC  6496  ;NGC 6496                           ;GlC;269.76533 -44.26594                ;    -3.04 -9.24   ;0.0942   ;-134.72      ;     ~   
6094;NGC  6497  ;NGC 6497                           ;G  ;267.8248871049000 +59.4708697089700;            ~ ~   ;      ~  ;6030.9       ;     ~   
6095;NGC  6500  ;NGC 6500                           ;LIN;268.9990940536200 +18.3382339851800;            ~ ~   ;      ~  ;2969         ;12.54    
6096;NGC  6501  ;NGC 6501                           ;GiP;269.0155779461621 +18.3730371284547;            ~ ~   ;      ~  ;2910         ;     ~   
6097;NGC  6502  ;NGC 6502                           ;G  ;271.0572930646500 -65.4099632986000;            ~ ~   ;      ~  ;5463         ;     ~   
6098;NGC  6503  ;NGC 6503                           ;LIN;267.3600865800299 +70.1443344811600;  -0.062 -0.914   ;1.016    ;43           ;10.28    
6099;NGC  6504  ;NGC 6504                           ;G  ;269.0238327031000 +33.2084629011200;   0.042 -1.367   ;      ~  ;4702         ;     ~   
6100;NGC  6505  ;NGC 6505                           ;GiG;267.780854 +65.530778              ;            ~ ~   ;      ~  ;11435        ;     ~   
6101;NGC  6507  ;NGC 6507                           ;OpC;269.9520 -17.4180                  ;    -0.76 -2.85   ;      ~  ;~            ;9.6      
6102;NGC  6508  ;NGC 6508                           ;G  ;267.4433749642800 +72.0211216766100;            ~ ~   ;      ~  ;7441         ;     ~   
6103;NGC  6509  ;NGC 6509                           ;GiG;269.8554799667300 +06.2869065523600;   -1.659 0.385   ;      ~  ;1800         ;     ~   
6104;NGC  6511  ;NGC 6510                           ;G  ;268.663725 +60.817867              ;            ~ ~   ;      ~  ;4251         ;     ~   
6105;NGC  6512  ;NGC 6512                           ;GiG;268.7098245211999 +62.6450178213300;            ~ ~   ;      ~  ;8260         ;     ~   
6106;NGC  6513  ;NGC 6513                           ;G  ;269.8928901186400 +24.8870175032300;   0.564 -0.579   ;      ~  ;5891         ;     ~   
6107;NGC  6514  ;NAME Trifid Nebula                 ;OpC;270.6750 -22.9717                  ;     0.41 -1.69   ;0.79     ;-5.0         ;     ~   
6108;NGC  6515  ;NGC 6515                           ;G  ;269.3549730884200 +50.7281199423600;            ~ ~   ;      ~  ;6771         ;     ~   
6109;NGC  6516  ;NGC 6516                           ;GiG;268.8198749572100 +62.6698555757600;            ~ ~   ;      ~  ;7489         ;     ~   
6110;NGC  6517  ;NGC 6517                           ;GlC;270.459900 -08.959553              ;    -1.49 -4.23   ;0.0449   ;-37.07       ;     ~   
6111;NGC  6518  ;NGC 6518                           ;GiG;269.9322908722300 +28.8666726088500;            ~ ~   ;      ~  ;6657         ;     ~   
6112;NGC  6520  ;NGC 6520                           ;OpC;270.8560 -27.8840                  ;   0.688 -0.418   ;0.556    ;-27.6        ;7.6      
6113;NGC  6521  ;NGC 6521                           ;Sy1;268.9517983559399 +62.6122581112300;   1.167 -0.137   ;0.0893   ;8091         ;     ~   
6114;NGC  6522  ;NGC 6522                           ;GlC;270.89200 -30.03397                ;     2.62 -6.40   ;0.0803   ;-13.90       ;9.48     
6115;NGC  6523  ;NGC 6523                           ;Cl*;270.8000 -24.3833                  ;            ~ ~   ;      ~  ;~            ;     ~   
6116;NGC  6524  ;NGC 6524                           ;G  ;269.8113514984300 +45.8870601877200;    0.537 1.183   ;      ~  ;5566         ;     ~   
6117;NGC  6525  ;NGC 6525                           ;OpC;270.5000 +11.0233                  ;    -1.59 -4.48   ;      ~  ;~            ;     ~   
6118;NGC  6526  ;NGC 6526                           ;RNe;270.6500 -23.5833                  ;            ~ ~   ;      ~  ;~            ;     ~   
6119;NGC  6527  ;NGC 6527                           ;G  ;270.4432403275400 +19.7289040590500;   0.117 -1.062   ;      ~  ;5394         ;     ~   
6120;NGC  6528  ;NGC 6528                           ;GlC;271.20671 -30.05578                ;    -2.17 -5.52   ;0.1009   ;210.31       ;10.65    
6121;NGC  6530  ;NGC 6530                           ;OpC;271.1292 -24.3583                  ;     0.91 -3.22   ;0.75     ;-1.9         ;     ~   
6122;NGC  6531  ;M 21                               ;OpC;271.0360 -22.5050                  ;   0.525 -1.521   ;0.798    ;-18.22       ;     ~   
6123;NGC  6532  ;NGC 6532                           ;G  ;269.808046 +56.231747              ;            ~ ~   ;      ~  ;5436         ;     ~   
6124;NGC  6534  ;NGC 6534                           ;G  ;269.0357001787400 +64.2837517057300;            ~ ~   ;      ~  ;8216         ;     ~   
6125;NGC  6535  ;NGC 6535                           ;GlC;270.96046 -00.29764                ;    -4.24 -2.92   ;0.1337   ;-214.85      ;9.85     
6126;NGC  6536  ;NGC 6536                           ;G  ;269.3182327019000 +64.9381115758700;            ~ ~   ;      ~  ;7736         ;     ~   
6127;NGC  6537  ;NAME Red Spider nebula             ;PN ;271.304600 -19.843022              ;      17.5 -1.4   ;      ~  ;-17.3        ;13.58    
6128;NGC  6538  ;NGC 6538                           ;G  ;268.5692664841699 +73.4237329452700;    1.520 0.879   ;      ~  ;1334         ;     ~   
6129;NGC  6539  ;NGC 6539                           ;GlC;271.20725 -07.58586                ;    -6.82 -3.48   ;0.0666   ;35.69        ;     ~   
6130;NGC  6540  ;NGC 6540                           ;GlC;271.53583 -27.76528                ;    -3.80 -2.73   ;      ~  ;-17.98       ;     ~   
6131;NGC  6541  ;NGC 6541                           ;GlC;272.00983 -43.71489                ;     0.32 -8.85   ;0.1211   ;-163.97      ;7.32     
6132;NGC  6542  ;NGC 6542                           ;G  ;269.910858 +61.359444              ;            ~ ~   ;      ~  ;702          ;     ~   
6133;NGC  6543  ;NAME Sunflower Nebula              ;PN ;269.6391831613700 +66.6329863150000;  -0.434 -6.532   ;0.7321   ;-65.7        ;11.28    
6134;NGC  6544  ;NGC 6544                           ;GlC;271.83575 -24.99733                ;   -2.34 -18.66   ;0.328    ;-38.12       ;9.90     
6135;NGC  6545  ;NGC 6545                           ;GiG;273.0616741902400 -63.7761681726900;  -0.009 -0.312   ;      ~  ;4220         ;     ~   
6136;NGC  6546  ;NGC 6546                           ;OpC;271.8417 -23.2967                  ;     1.08 -2.50   ;      ~  ;-29.427      ;8.0      
6137;NGC  6547  ;NGC 6547                           ;G  ;271.2917566316399 +25.2326253954500;            ~ ~   ;      ~  ;2690         ;     ~   
6138;NGC  6548  ;NGC 6548                           ;GiP;271.4968499010100 +18.5872934364000;  -0.304 -0.992   ;0.8506   ;2171         ;     ~   
6139;NGC  6549  ;NGC 6549                           ;GiP;271.4562428261100 +18.5380252411600;            ~ ~   ;      ~  ;6560         ;     ~   
6140;NGC  6552  ;NGC 6552                           ;Sy2;270.0302159782400 +66.6151000953300;            ~ ~   ;      ~  ;7855         ;13.74    
6141;NGC  6553  ;NGC 6553                           ;GlC;272.31533 -25.90775                ;     0.30 -0.41   ;0.2194   ;0.72         ;     ~   
6142;NGC  6555  ;NGC 6555                           ;G  ;271.954867 +17.604897              ;            ~ ~   ;      ~  ;2218         ;     ~   
6143;NGC  6557  ;NGC 6557                           ;GiG;275.3528393368599 -76.5833576842000;            ~ ~   ;      ~  ;5500         ;     ~   
6144;NGC  6558  ;NGC 6558                           ;GlC;272.57658 -31.76350                ;    -1.77 -4.14   ;0.1036   ;-194.69      ;11.29    
6145;NGC  6559  ;NGC 6559                           ;GNe;272.5000 -24.0000                  ;            ~ ~   ;      ~  ;~            ;     ~   
6146;NGC  6560  ;NGC 6560                           ;G  ;271.3082976882600 +46.8816205871300;            ~ ~   ;      ~  ;6958         ;     ~   
6147;NGC  6561  ;NGC 6561                           ;OpC;272.6590 -16.7400                  ;  -0.002 -0.754   ;0.655    ;-20.0        ;     ~   
6148;NGC  6562  ;NGC 6562                           ;G  ;271.2539162771700 +56.2631147450800;  -0.552 -1.015   ;0.6745   ;6528         ;     ~   
6149;NGC  6563  ;NGC 6563                           ;PN ;273.01042 -33.86861                ;            ~ ~   ;      ~  ;-31.0        ;10       
6150;NGC  6565  ;NGC 6565                           ;PN ;272.9686909303700 -28.1784503447900;  -1.394 -4.453   ;      ~  ;-4.9         ;12.2     
